,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex
147,Contact Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/302755985/,Москва,sale,flat,8,12,4,145.0,299000000.0,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
148,MR Group,developer,https://www.cian.ru/sale/flat/307788196/,Москва,sale,flat,18,47,2,57.84,25912320.0,Хорошево-Мневники,,,Полежаевская,Джойс ЖК
149,ID 85604823,unknown,https://www.cian.ru/sale/flat/308497818/,Москва,sale,flat,16,41,2,51.0,34000000.0,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,Сердце Столицы
150,Группа Родина,developer,https://www.cian.ru/sale/flat/305476395/,Москва,sale,flat,5,19,2,42.3,23300030.0,Можайский,,,Давыдково,Родина Парк ЖК
151,Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/298324612/,Москва,sale,flat,3,9,3,62.9,14500000.0,Восточное Дегунино,Дубнинская ,2К1,Верхние Лихоборы,
152,Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/300427092/,Москва,sale,flat,16,18,1,25.5,10800000.0,Головинский,Михалковская ,48к2,Коптево,Михалковский
153,Hutton Development,developer,https://www.cian.ru/sale/flat/305627324/,Москва,sale,flat,4,17,2,88.1,48895500.0,Гагаринский,Ленинский проспект,38,Ленинский проспект,Lunar
154,Главстрой,developer,https://www.cian.ru/sale/flat/306076580/,Москва,sale,flat,4,22,2,67.1,28687292.0,Филевский парк,Береговой проезд,2,Фили,Береговой-2
155,ELSTATE,real_estate_agent,https://www.cian.ru/sale/flat/297197568/,Москва,sale,flat,9,22,-1,259.0,490000000.0,Якиманка,Якиманский переулок,6,Октябрьская,Имперский дом
156,Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/309669149/,Москва,sale,flat,10,15,1,34.1,10300000.0,Молжаниновский,Ленинградское шоссе,228к6,Новоподрезково,1-й Ленинградский
157,Sminex,developer,https://www.cian.ru/sale/flat/306342049/,Москва,sale,flat,2,10,3,147.5,378740000.0,Хамовники,Фрунзенская набережная,30,Фрунзенская,Клубный город-парк 
158,Максим Безбородов,realtor,https://www.cian.ru/sale/flat/308954685/,Москва,sale,flat,18,22,1,31.6,13500000.0,Дмитровский,Дмитровское шоссе,107к1,Яхромская,Летний сад
159,Егор Симинеев,realtor,https://www.cian.ru/sale/flat/309197265/,Москва,sale,flat,6,8,-1,32.1,27700000.0,Беговой, 1-я Ямского Поля,1к1,Белорусская,Slava
160,MR Group,developer,https://www.cian.ru/sale/flat/306603287/,Москва,sale,flat,3,36,2,68.6,48860075.0,Беговой,Ленинградский проспект,вл8,Белорусская,Slava
161,RED,real_estate_agent,https://www.cian.ru/sale/flat/303682102/,Москва,sale,flat,2,15,-1,31.9,11758000.0,Хорошевский,Ходынский бульвар,2,ЦСКА,Лайнер
162,SKYEST,real_estate_agent,https://www.cian.ru/sale/flat/302887883/,Москва,sale,flat,9,14,3,102.0,133000000.0,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
163,Regions Development,developer,https://www.cian.ru/sale/flat/308070820/,Москва,sale,flat,2,24,2,57.6,26741399.0,Нагатинский затон,проспект Андропова,9/1к2,Технопарк,Dream Towers
164,ИП Боброва Е. И.,real_estate_agent,https://www.cian.ru/sale/flat/301309397/,Москва,sale,flat,5,5,3,88.7,34500000.0,Савеловский, Мишина,23,Петровский Парк,
165,Алексей Толоконин-Саркиссов,realtor,https://www.cian.ru/sale/flat/304713806/,Москва,sale,flat,7,22,-1,81.3,29990000.0,Хорошевский, Зорге,9Ак1,Зорге,Зорге 9
166,MR Group,developer,https://www.cian.ru/sale/flat/305978203/,Москва,sale,flat,4,44,2,64.49,27621712.0,Марьина роща, 4-я Марьиной рощи,12К3,Марьина Роща,Mod
167,Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/298547671/,Москва,sale,flat,4,22,2,66.0,34500000.0,Кунцево, Академика Павлова,28,Молодёжная,Академика Павлова
168,BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/306888870/,Москва,sale,flat,25,35,3,137.6,70000000.0,Щукино,Авиационная ,79К1,Щукинская,Алые Паруса
169,MR Group,developer,https://www.cian.ru/sale/flat/306067906/,Москва,sale,flat,2,57,2,40.53,26210751.0,Филевский парк,,,Фили,Фили Сити ЖК
170,BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/292444827/,Москва,sale,flat,7,8,4,200.0,110000000.0,Тверской,Сущевская ,31,Менделеевская,
171,3SGroup,developer,https://www.cian.ru/sale/flat/305952760/,Москва,sale,flat,3,17,2,50.9,11960000.0,,,,Корниловская,FOREVILLE
172,Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/270731248/,Москва,sale,flat,24,44,4,200.5,160000000.0,Раменки,Минская ,2,Минская,Долина Сетунь
173,Алексей Рыбаков,realtor,https://www.cian.ru/sale/flat/308599377/,Москва,sale,flat,2,5,1,15.8,6995000.0,Головинский,Солнечногорская ,7к1,Моссельмаш,
174,Hutton Development,developer,https://www.cian.ru/sale/flat/303616433/,Москва,sale,flat,5,6,2,75.6,189000000.0,Якиманка,Софийская набережная,34С3,Новокузнецкая,Клубный дом DUO
175,NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/308745570/,Москва,sale,flat,4,11,4,204.0,300000000.0,Хамовники,Погодинская ,4,Фрунзенская,GRAND DELUXE на Плющихе
176,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/305646078/,Москва,sale,flat,24,24,2,57.4,37480000.0,Хорошево-Мневники,Шелепихинская набережная,34к3зд7,Шелепиха,Сердце Столицы
177,Донстрой,developer,https://www.cian.ru/sale/flat/309018444/,Москва,sale,flat,6,19,2,55.8,32006880.0,Хорошево-Мневники,Жилой комплекс остров,4,Мнёвники,Остров
178,Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/247174958/,Москва,sale,flat,8,53,3,150.0,135000000.0,Раменки,Мосфильмовская ,8,Ломоносовский проспект,Дом на Мосфильмовской
179,Елена Некрасова,realtor,https://www.cian.ru/sale/flat/309676006/,Москва,sale,flat,11,12,2,39.0,12600000.0,Кузьминки, Федора Полетаева,28,Кузьминки,
180,РГ-Девелопмент,developer,https://www.cian.ru/sale/flat/307274474/,Москва,sale,flat,2,9,2,54.3,12782220.0,Чертаново Южное,,1.1,Аннино,Варшавские Ворота ЖК
181,Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/308255881/,Москва,sale,flat,13,16,3,65.0,25600000.0,Кунцево,Кунцевская ,13/6,Рабочий посёлок,
182,ID 9734212,real_estate_agent,https://www.cian.ru/sale/flat/302550491/,Москва,sale,flat,23,26,2,56.1,23999000.0,Ломоносовский, Архитектора Власова,2,Профсоюзная,
183,EraOneHolding,developer,https://www.cian.ru/sale/flat/306783471/,Москва,sale,flat,3,5,2,178.6,150400000.0,Арбат, Арбат,39,Смоленская,Artisan
184,SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/280083088/,Москва,sale,flat,3,6,3,123.0,92250000.0,Беговой, 3-я Ямского Поля,9,Белорусская,Art Residence
185,Колди,developer,https://www.cian.ru/sale/flat/308811746/,Москва,sale,flat,7,21,2,50.28,11173976.0,Нижегородский,Автомобильный проезд,4,Калитники,N’ice Loft
186,Sminex,developer,https://www.cian.ru/sale/flat/309259541/,Москва,sale,flat,2,26,2,61.53,31580000.0,Марфино, Академика Королева,21,Бутырская,Дом Достижение
187,Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/303093282/,Москва,sale,flat,4,32,2,53.1,25300000.0,Можайский, Петра Алексеева,14,Давыдково,КутузовGRAD II
188,Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/307403701/,Москва,sale,flat,7,9,3,101.7,69950000.0,Замоскворечье,Вишняковский переулок,23,Новокузнецкая,
189,EraOneHolding,developer,https://www.cian.ru/sale/flat/305196550/,Москва,sale,flat,7,8,2,121.8,141031579.0,Арбат, Арбат,24,Смоленская,Turandot Residences
190,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/303766764/,Москва,sale,flat,2,4,3,137.9,275110500.0,Хамовники,Пречистенская набережная,7,Парк Культуры,Кленовый DOM
191,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/309583372/,Москва,sale,flat,9,14,2,77.0,62000000.0,Раменки,проспект Генерала Дорохова,39к1Г,Минская,Собрание клубных домов West Garden
192,Capital Group,developer,https://www.cian.ru/sale/flat/305787512/,Москва,sale,flat,40,67,2,73.2,84180000.0,Пресненский,Краснопресненская набережная,14Ак1,Москва-Сити,Capital Towers
193,SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/303533444/,Москва,sale,flat,20,29,4,92.9,29500000.0,Фили-Давыдково, Ивана Франко,6,Кунцевская,MainStreet
194,Ташир,developer,https://www.cian.ru/sale/flat/308353694/,Москва,sale,flat,3,21,2,48.1,15680600.0,Очаково-Матвеевское,Аминьевское шоссе,6,Давыдково,West Tower (Апартаменты бизнес-класса)
195,Главстрой,developer,https://www.cian.ru/sale/flat/307942491/,Москва,sale,flat,7,35,1,39.22,18847239.0,Котловка,31/2,31/2,Профсоюзная,Новые Академики ЖК
196,MR Group,developer,https://www.cian.ru/sale/flat/300288186/,Москва,sale,flat,3,49,1,38.79,18572846.0,Савеловский,,,Дмитровская,Симфония 34 ЖК
197,COLDY,developer,https://www.cian.ru/sale/flat/307965932/,Москва,sale,flat,2,15,1,30.8,26977720.0,Даниловский, Серпуховский Вал,7с16,Тульская,Дом 7 Даниловский
198,Группа Родина,developer,https://www.cian.ru/sale/flat/305467910/,Москва,sale,flat,2,23,2,61.0,31127000.0,Ростокино,,к6,Ботанический сад,Союз ЖК
199,PIONEER,developer,https://www.cian.ru/sale/flat/306809960/,Москва,sale,flat,2,22,1,31.4,17903652.0,Марьина роща,Полковая ,1С12,Савёловская,PRIDE
200,Среда,developer,https://www.cian.ru/sale/flat/303859285/,Москва,sale,flat,5,13,1,35.3,14074110.0,Очаково-Матвеевское,Очаково мкр,,Аминьевская,Среда на Лобачевского
201,Tekta Group,developer,https://www.cian.ru/sale/flat/309371119/,Москва,sale,flat,19,22,1,27.9,13763070.0,Нагорный,,,Нагорная,Twelve
202,Absolute Premium,developer,https://www.cian.ru/sale/flat/304065733/,Москва,sale,flat,9,18,1,49.8,60432000.0,Хамовники,,,Воробьёвы горы,Коллекция Лужники ЖК
203,Tekta Group,developer,https://www.cian.ru/sale/flat/309340864/,Москва,sale,flat,19,34,1,30.0,17745000.0,Обручевский,,,Воронцовская,Эвер ЖК
204,3SGroup,developer,https://www.cian.ru/sale/flat/308096028/,Москва,sale,flat,12,29,1,33.2,15568000.0,Богородское,Открытое шоссе,14Д,Бульвар Рокоссовского,Талисман на Рокоссовского
205,MR Group,developer,https://www.cian.ru/sale/flat/309409730/,Москва,sale,flat,2,16,2,57.5,18147805.0,Покровское-Стрешнево,Вишневая ,7С128,Тушинская,Мультиквартал CITYZEN
206,Среда,developer,https://www.cian.ru/sale/flat/309354143/,Москва,sale,flat,15,30,1,31.03,13358290.0,Кунцево,48-й кв-л,,Кунцевская,Кутузовский Квартал ЖК
207,TOUCH,developer,https://www.cian.ru/sale/flat/302838432/,Москва,sale,flat,8,13,1,41.1,25798280.0,Южнопортовый,,к2,Дубровка,Шампайн ЖК
208,Галс-Девелопмент,developer,https://www.cian.ru/sale/flat/306243017/,Москва,sale,flat,2,27,1,45.7,21798900.0,Басманный, Фридриха Энгельса,56С9,Бауманская,Дом 56
